 time            i(v_i_out)      i(v_i_amp)      v(dac_out)      v(q1)          
 2.27280000e-09  2.03904367e-09 -3.77401089e-11  2.63191473e-01  3.03875101e-02 
 2.28280000e-09  2.03905763e-09  8.26800953e-11  2.63191473e-01  3.06048188e-02 
 2.29280000e-09  2.03905276e-09 -3.82407730e-11  2.63191473e-01  3.08224695e-02 
 2.30280000e-09  2.03904715e-09  8.30952749e-11  2.63191473e-01  3.10386490e-02 
 2.31280000e-09  2.03904316e-09 -3.87325547e-11  2.63191473e-01  3.12551351e-02 
 2.32280000e-09  2.03905845e-09  8.35037426e-11  2.63191473e-01  3.14701255e-02 
 2.33280000e-09  2.03905678e-09 -3.92190823e-11  2.63191473e-01  3.16853878e-02 
 2.34280000e-09  2.03905066e-09  8.39043455e-11  2.63191473e-01  3.18991308e-02 
 2.35280000e-09  2.03904824e-09 -3.96960042e-11  2.63191473e-01  3.21131117e-02 
 2.36280000e-09  2.03905528e-09  8.43006423e-11  2.63191473e-01  3.23255504e-02 
 2.37280000e-09  2.03905360e-09 -4.01683774e-11  2.63191473e-01  3.25381940e-02 
 2.38280000e-09  2.03905719e-09  8.46895057e-11  2.63191473e-01  3.27492730e-02 
 2.39280000e-09  2.03903833e-09 -4.06329903e-11  2.63191473e-01  3.29605246e-02 
 2.40280000e-09  2.03905480e-09  8.50760900e-11  2.63191473e-01  3.31701902e-02 
 2.41280000e-09  2.03905888e-09 -4.10904576e-11  2.63191473e-01  3.33799969e-02 
 2.42280000e-09  2.03905192e-09  8.54548287e-11  2.63191473e-01  3.35881968e-02 
 2.43280000e-09  2.03906233e-09 -4.15428058e-11  2.63191473e-01  3.37965070e-02 
 2.44280000e-09  2.03905580e-09  8.58278849e-11  2.63191473e-01  3.40031905e-02 
 2.45280000e-09  2.03905527e-09 -4.19873547e-11  2.63191473e-01  3.42099544e-02 
 2.46280000e-09  2.03905110e-09  8.61957415e-11  2.63191473e-01  3.44150724e-02 
 2.47280000e-09  2.03904740e-09 -4.24256035e-11  2.63191473e-01  3.46202418e-02 
 2.48280000e-09  2.03904281e-09  8.65581626e-11  2.63191473e-01  3.48237468e-02 
 2.49280000e-09  2.03905437e-09 -4.28571447e-11  2.63191473e-01  3.50272752e-02 
 2.50280000e-09  2.03905905e-09  8.69143101e-11  2.63191473e-01  3.52291215e-02 
 2.51280000e-09  2.03905162e-09 -4.32832789e-11  2.63191473e-01  3.54309638e-02 
 2.52280000e-09  2.03904991e-09  8.72655669e-11  2.63191473e-01  3.56311074e-02 
 2.53280000e-09  2.03906069e-09 -4.37000118e-11  2.63191473e-01  3.58312207e-02 
 2.54280000e-09  2.03904834e-09  8.76120317e-11  2.63191473e-01  3.60296193e-02 
 2.55280000e-09  2.03904718e-09 -4.41145916e-11  2.63191473e-01  3.62279621e-02 
 2.56280000e-09  2.03904337e-09  8.79529828e-11  2.63191473e-01  3.64245753e-02 
 2.57280000e-09  2.03904915e-09 -4.45216277e-11  2.63191473e-01  3.66211082e-02 
 2.58280000e-09  2.03904701e-09  8.82895686e-11  2.63191473e-01  3.68158973e-02 
 2.59280000e-09  2.03905663e-09 -4.49207451e-11  2.63191473e-01  3.70105828e-02 
 2.60280000e-09  2.03906032e-09  8.86195304e-11  2.63191473e-01  3.72035111e-02 
 2.61280000e-09  2.03905431e-09 -4.53143036e-11  2.63191473e-01  3.73963133e-02 
 2.62280000e-09  2.03905605e-09  8.89444891e-11  2.63191473e-01  3.75873461e-02 
 2.63280000e-09  2.03905915e-09 -4.57024870e-11  2.63191473e-01  3.77782311e-02 
 2.64280000e-09  2.03905425e-09  8.92666559e-11  2.63191473e-01  3.79673354e-02 
 2.65280000e-09  2.03904862e-09 -4.60845308e-11  2.63191473e-01  3.81562714e-02 
 2.66280000e-09  2.03905074e-09  8.95800204e-11  2.63191473e-01  3.83434162e-02 
 2.67280000e-09  2.03905061e-09 -4.64613007e-11  2.63191473e-01  3.85303730e-02 
 2.68280000e-09  2.03906380e-09  8.98905961e-11  2.63191473e-01  3.87155292e-02 
 2.69280000e-09  2.03905475e-09 -4.68294726e-11  2.63191473e-01  3.89004787e-02 
 2.70280000e-09  2.03904940e-09  9.01968583e-11  2.63191473e-01  3.90836190e-02 
 2.71280000e-09  2.03905026e-09 -4.71945158e-11  2.63191473e-01  3.92665349e-02 
 2.72280000e-09  2.03906116e-09  9.04963321e-11  2.63191473e-01  3.94476337e-02 
 2.73280000e-09  2.03905050e-09 -4.75520105e-11  2.63191473e-01  3.96284914e-02 
 2.74280000e-09  2.03905819e-09  9.07930762e-11  2.63191473e-01  3.98075252e-02 
 2.75280000e-09  2.03904039e-09 -4.79085757e-11  2.63191473e-01  3.99863019e-02 
 2.76280000e-09  2.03907527e-09  9.10816664e-11  2.63191473e-01  4.01632486e-02 
 2.77280000e-09  2.03904906e-09 -4.82537059e-11  2.63191473e-01  4.03399233e-02 
 2.78280000e-09  2.03906189e-09  9.13678047e-11  2.63191473e-01  4.05147626e-02 
 2.79280000e-09  2.03905122e-09 -4.85951896e-11  2.63191473e-01  4.06893157e-02 
 2.80280000e-09  2.03906289e-09  9.16501177e-11  2.63191473e-01  4.08620288e-02 
 2.81280000e-09  2.03904894e-09 -4.89318179e-11  2.63191473e-01  4.10344427e-02 
 2.82280000e-09  2.03906027e-09  9.19263088e-11  2.63191473e-01  4.12050127e-02 
 2.83280000e-09  2.03905739e-09 -4.92617834e-11  2.63191473e-01  4.13752711e-02 
 2.84280000e-09  2.03905196e-09  9.21988737e-11  2.63191473e-01  4.15436825e-02 
